,filepath,pid,cfversion,timestamp,error_level,error_type,var_id,error_details,logfile,model,dataset_id,error_var_type,cf_severity_level
1926,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.nc,hdl:21.14100/f6e38a72-14f9-4e4f-811e-006d1db95388,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lon_bnds,'(7.1): bounds attribute referencing non-existent variable lon_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585.r1i1p1f1.fx.orog.gn.v20180701,other,major
1927,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.nc,hdl:21.14100/f6e38a72-14f9-4e4f-811e-006d1db95388,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lat_bnds,'(7.1): bounds attribute referencing non-existent variable lat_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp585/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp585_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585.r1i1p1f1.fx.orog.gn.v20180701,other,major
10612,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/2aebe0b1-edd1-47fe-889a-e01ab3a960cd,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.simass.gn.v20200420,other,major
10613,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.nc,hdl:21.14100/a8f4dee0-3ab2-4da6-b4b1-1871928198d3,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.simass.gn.v20200420,other,major
56983,/badc/cmip6/data/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_185001-189912.nc,hdl:21.14100/e53d0113-814a-4c31-9460-086cba989d80,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_185001-189912.log,CIESM,CMIP6.CMIP.THU.CIESM.historical.r1i1p1f1.SImon.simass.gn.v20200420,other,major
56984,/badc/cmip6/data/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_190001-194912.nc,hdl:21.14100/fe0b8670-8af9-41c3-9a80-3fa2517990d7,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_190001-194912.log,CIESM,CMIP6.CMIP.THU.CIESM.historical.r1i1p1f1.SImon.simass.gn.v20200420,other,major
56985,/badc/cmip6/data/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_195001-201412.nc,hdl:21.14100/a51f31bc-7c82-40b2-bbf6-c78d27e9c61e,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/CMIP/THU/CIESM/historical/r1i1p1f1/SImon/simass/gn/v20200420/simass_SImon_CIESM_historical_r1i1p1f1_gn_195001-201412.log,CIESM,CMIP6.CMIP.THU.CIESM.historical.r1i1p1f1.SImon.simass.gn.v20200420,other,major
58672,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.nc,hdl:21.14100/31e144a4-614b-4166-b430-7e39315d2ed9,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lon_bnds,'(7.1): bounds attribute referencing non-existent variable lon_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp370.r1i1p1f1.fx.orog.gn.v20180701,other,major
58673,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.nc,hdl:21.14100/31e144a4-614b-4166-b430-7e39315d2ed9,CF-1.7 CMIP-6.0 UGRID-1.0,2020-09-23,ERROR,variable,lat_bnds,'(7.1): bounds attribute referencing non-existent variable lat_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp370/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp370_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp370.r1i1p1f1.fx.orog.gn.v20180701,other,major
59569,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/ea889bb8-d897-4544-91ff-fa6ea008fac8,CF-1.7 CMIP-6.2,2020-12-03,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.siconc.gn.v20200420,other,major
59570,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.nc,hdl:21.14100/9967fde9-ccf1-43c0-9f5e-92de3ca223c7,CF-1.7 CMIP-6.2,2020-12-03,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.siconc.gn.v20200420,other,major
69174,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp245/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp245_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/eaa2c5cf-c969-4a75-8b67-30e3fe4f094b,CF-1.7 CMIP-6.2,2020-09-23,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp245/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp245_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp245.r1i1p1f1.SImon.siconc.gn.v20200420,other,major
69175,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp245/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp245_r1i1p1f1_gn_206501-210012.nc,hdl:21.14100/90f76ca7-f2d9-4b5a-b30e-a8b62dbe7cbb,CF-1.7 CMIP-6.2,2020-09-23,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp245/r1i1p1f1/SImon/siconc/gn/v20200420/siconc_SImon_CIESM_ssp245_r1i1p1f1_gn_206501-210012.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp245.r1i1p1f1.SImon.siconc.gn.v20200420,other,major
72209,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp585/r1i1p1f1/SImon/sithick/gn/v20200420/sithick_SImon_CIESM_ssp585_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/29a35bab-b8d7-4db9-9fa5-8688b821ac8e,CF-1.7 CMIP-6.2,2020-09-23,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp585/r1i1p1f1/SImon/sithick/gn/v20200420/sithick_SImon_CIESM_ssp585_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp585.r1i1p1f1.SImon.sithick.gn.v20200420,other,major
72210,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp585/r1i1p1f1/SImon/sithick/gn/v20200420/sithick_SImon_CIESM_ssp585_r1i1p1f1_gn_206501-210012.nc,hdl:21.14100/6d90447e-dd2b-4872-b897-0b2e9b68d201,CF-1.7 CMIP-6.2,2020-09-23,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp585/r1i1p1f1/SImon/sithick/gn/v20200420/sithick_SImon_CIESM_ssp585_r1i1p1f1_gn_206501-210012.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp585.r1i1p1f1.SImon.sithick.gn.v20200420,other,major
72605,/badc/cmip6/data/CMIP6/ScenarioMIP/KIOST/KIOST-ESM/ssp126/r1i1p1f1/SImon/simass/gr1/v20191104/simass_SImon_KIOST-ESM_ssp126_r1i1p1f1_gr1_201501-201512.nc,hdl:21.14100/bc794cf4-c304-443f-b905-3ebc8e2dbddb,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time,'(5): co-ordinate variable not monotonic',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/KIOST/KIOST-ESM/ssp126/r1i1p1f1/SImon/simass/gr1/v20191104/simass_SImon_KIOST-ESM_ssp126_r1i1p1f1_gr1_201501-201512.log,KIOST-ESM,CMIP6.ScenarioMIP.KIOST.KIOST-ESM.ssp126.r1i1p1f1.SImon.simass.gr1.v20191104,other,major
76157,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/sitemptop/gn/v20200420/sitemptop_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.nc,hdl:21.14100/f136e129-ddd1-4ff2-a095-e3b029376a95,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/sitemptop/gn/v20200420/sitemptop_SImon_CIESM_ssp126_r1i1p1f1_gn_201501-206412.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.sitemptop.gn.v20200420,other,major
76158,/badc/cmip6/data/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/sitemptop/gn/v20200420/sitemptop_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.nc,hdl:21.14100/ade3640b-cda5-4d91-8826-987044c52b58,CF-1.7 CMIP-6.2,2020-11-26,ERROR,variable,time_bounds,'(7.1): Incorrect number of dimensions for boundary variable: time_bounds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/THU/CIESM/ssp126/r1i1p1f1/SImon/sitemptop/gn/v20200420/sitemptop_SImon_CIESM_ssp126_r1i1p1f1_gn_206501-210012.log,CIESM,CMIP6.ScenarioMIP.THU.CIESM.ssp126.r1i1p1f1.SImon.sitemptop.gn.v20200420,other,major
86960,/badc/cmip6/data/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp119/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp119_r1i1p1f1_gn.nc,hdl:21.14100/b2480a89-0ca2-4235-878d-ea225be1889e,CF-1.7 CMIP-6.0 UGRID-1.0,2020-10-30,ERROR,variable,lon_bnds,'(7.1): bounds attribute referencing non-existent variable lon_bnds',/group_workspaces/jasmin2/cp4cds1/vol3/c3s_34g/cmip6_qc/cf_logs/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp119/r1i1p1f1/fx/orog/gn/v20180701/orog_fx_GFDL-ESM4_ssp119_r1i1p1f1_gn.log,GFDL-ESM4,CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp119.r1i1p1f1.fx.orog.gn.v20180701,other,major
